rank,feature_name,importance_value,direction,method,endpoint,component,source_artifact_or_script,caveat
11,ast_alt_ratio_v3,19.333,,aggregated_mean_rank_across_phase2_proxy_SHAP_tables,hepatic_event,Track B (GPT) hepatic anchor — phase-2 proxy aggregate,pipeline_full/reference_upstream/gpt_track/experiments/outputs/phase2_feature_importance/*.csv,"Aggregated mean rank across 3 GPT phase-2 hepatic proxy SHAP tables (LGBM / CatBoost / XGB-Cox binary). These are proxy models, NOT the submitted phase-3 horizon-blend anchor (20260428_0059_phase3_10_horizon_blend_v2.csv) whose fitted constituents were not preserved. Treat as indicative feature ranking only."
12,ast_alt_ratio_v2,19.667,,aggregated_mean_rank_across_phase2_proxy_SHAP_tables,hepatic_event,Track B (GPT) hepatic anchor — phase-2 proxy aggregate,pipeline_full/reference_upstream/gpt_track/experiments/outputs/phase2_feature_importance/*.csv,"Aggregated mean rank across 3 GPT phase-2 hepatic proxy SHAP tables (LGBM / CatBoost / XGB-Cox binary). These are proxy models, NOT the submitted phase-3 horizon-blend anchor (20260428_0059_phase3_10_horizon_blend_v2.csv) whose fitted constituents were not preserved. Treat as indicative feature ranking only."
13,aixp_aix_result_BM_3_last,20.25,,aggregated_mean_rank_across_phase2_proxy_SHAP_tables,hepatic_event,Track B (GPT) hepatic anchor — phase-2 proxy aggregate,pipeline_full/reference_upstream/gpt_track/experiments/outputs/phase2_feature_importance/*.csv,"Aggregated mean rank across 4 GPT phase-2 hepatic proxy SHAP tables (LGBM / CatBoost / XGB-Cox binary). These are proxy models, NOT the submitted phase-3 horizon-blend anchor (20260428_0059_phase3_10_horizon_blend_v2.csv) whose fitted constituents were not preserved. Treat as indicative feature ranking only."
14,fibrotest_BM_2_delta,21.25,,aggregated_mean_rank_across_phase2_proxy_SHAP_tables,hepatic_event,Track B (GPT) hepatic anchor — phase-2 proxy aggregate,pipeline_full/reference_upstream/gpt_track/experiments/outputs/phase2_feature_importance/*.csv,"Aggregated mean rank across 4 GPT phase-2 hepatic proxy SHAP tables (LGBM / CatBoost / XGB-Cox binary). These are proxy models, NOT the submitted phase-3 horizon-blend anchor (20260428_0059_phase3_10_horizon_blend_v2.csv) whose fitted constituents were not preserved. Treat as indicative feature ranking only."
15,bilirubin_slope,21.5,,aggregated_mean_rank_across_phase2_proxy_SHAP_tables,hepatic_event,Track B (GPT) hepatic anchor — phase-2 proxy aggregate,pipeline_full/reference_upstream/gpt_track/experiments/outputs/phase2_feature_importance/*.csv,"Aggregated mean rank across 2 GPT phase-2 hepatic proxy SHAP tables (LGBM / CatBoost / XGB-Cox binary). These are proxy models, NOT the submitted phase-3 horizon-blend anchor (20260428_0059_phase3_10_horizon_blend_v2.csv) whose fitted constituents were not preserved. Treat as indicative feature ranking only."
16,Hypertension,22.0,,aggregated_mean_rank_across_phase2_proxy_SHAP_tables,hepatic_event,Track B (GPT) hepatic anchor — phase-2 proxy aggregate,pipeline_full/reference_upstream/gpt_track/experiments/outputs/phase2_feature_importance/*.csv,"Aggregated mean rank across 4 GPT phase-2 hepatic proxy SHAP tables (LGBM / CatBoost / XGB-Cox binary). These are proxy models, NOT the submitted phase-3 horizon-blend anchor (20260428_0059_phase3_10_horizon_blend_v2.csv) whose fitted constituents were not preserved. Treat as indicative feature ranking only."
17,fibrotest_BM_2_std,23.25,,aggregated_mean_rank_across_phase2_proxy_SHAP_tables,hepatic_event,Track B (GPT) hepatic anchor — phase-2 proxy aggregate,pipeline_full/reference_upstream/gpt_track/experiments/outputs/phase2_feature_importance/*.csv,"Aggregated mean rank across 4 GPT phase-2 hepatic proxy SHAP tables (LGBM / CatBoost / XGB-Cox binary). These are proxy models, NOT the submitted phase-3 horizon-blend anchor (20260428_0059_phase3_10_horizon_blend_v2.csv) whose fitted constituents were not preserved. Treat as indicative feature ranking only."
18,fibrotest_BM_2_last,23.5,,aggregated_mean_rank_across_phase2_proxy_SHAP_tables,hepatic_event,Track B (GPT) hepatic anchor — phase-2 proxy aggregate,pipeline_full/reference_upstream/gpt_track/experiments/outputs/phase2_feature_importance/*.csv,"Aggregated mean rank across 4 GPT phase-2 hepatic proxy SHAP tables (LGBM / CatBoost / XGB-Cox binary). These are proxy models, NOT the submitted phase-3 horizon-blend anchor (20260428_0059_phase3_10_horizon_blend_v2.csv) whose fitted constituents were not preserved. Treat as indicative feature ranking only."
19,gluc_fast_slope,26.0,,aggregated_mean_rank_across_phase2_proxy_SHAP_tables,hepatic_event,Track B (GPT) hepatic anchor — phase-2 proxy aggregate,pipeline_full/reference_upstream/gpt_track/experiments/outputs/phase2_feature_importance/*.csv,"Aggregated mean rank across 2 GPT phase-2 hepatic proxy SHAP tables (LGBM / CatBoost / XGB-Cox binary). These are proxy models, NOT the submitted phase-3 horizon-blend anchor (20260428_0059_phase3_10_horizon_blend_v2.csv) whose fitted constituents were not preserved. Treat as indicative feature ranking only."
20,apri_v2,26.667,,aggregated_mean_rank_across_phase2_proxy_SHAP_tables,hepatic_event,Track B (GPT) hepatic anchor — phase-2 proxy aggregate,pipeline_full/reference_upstream/gpt_track/experiments/outputs/phase2_feature_importance/*.csv,"Aggregated mean rank across 3 GPT phase-2 hepatic proxy SHAP tables (LGBM / CatBoost / XGB-Cox binary). These are proxy models, NOT the submitted phase-3 horizon-blend anchor (20260428_0059_phase3_10_horizon_blend_v2.csv) whose fitted constituents were not preserved. Treat as indicative feature ranking only."
21,aixp_aix_result_BM_3_first,26.75,,aggregated_mean_rank_across_phase2_proxy_SHAP_tables,hepatic_event,Track B (GPT) hepatic anchor — phase-2 proxy aggregate,pipeline_full/reference_upstream/gpt_track/experiments/outputs/phase2_feature_importance/*.csv,"Aggregated mean rank across 4 GPT phase-2 hepatic proxy SHAP tables (LGBM / CatBoost / XGB-Cox binary). These are proxy models, NOT the submitted phase-3 horizon-blend anchor (20260428_0059_phase3_10_horizon_blend_v2.csv) whose fitted constituents were not preserved. Treat as indicative feature ranking only."
22,fibs_stiffness_med_BM_1_min,27.5,,aggregated_mean_rank_across_phase2_proxy_SHAP_tables,hepatic_event,Track B (GPT) hepatic anchor — phase-2 proxy aggregate,pipeline_full/reference_upstream/gpt_track/experiments/outputs/phase2_feature_importance/*.csv,"Aggregated mean rank across 4 GPT phase-2 hepatic proxy SHAP tables (LGBM / CatBoost / XGB-Cox binary). These are proxy models, NOT the submitted phase-3 horizon-blend anchor (20260428_0059_phase3_10_horizon_blend_v2.csv) whose fitted constituents were not preserved. Treat as indicative feature ranking only."
23,fibs_stiffness_med_BM_1_std,29.0,,aggregated_mean_rank_across_phase2_proxy_SHAP_tables,hepatic_event,Track B (GPT) hepatic anchor — phase-2 proxy aggregate,pipeline_full/reference_upstream/gpt_track/experiments/outputs/phase2_feature_importance/*.csv,"Aggregated mean rank across 4 GPT phase-2 hepatic proxy SHAP tables (LGBM / CatBoost / XGB-Cox binary). These are proxy models, NOT the submitted phase-3 horizon-blend anchor (20260428_0059_phase3_10_horizon_blend_v2.csv) whose fitted constituents were not preserved. Treat as indicative feature ranking only."
24,fibs_stiffness_med_BM_1_last,29.25,,aggregated_mean_rank_across_phase2_proxy_SHAP_tables,hepatic_event,Track B (GPT) hepatic anchor — phase-2 proxy aggregate,pipeline_full/reference_upstream/gpt_track/experiments/outputs/phase2_feature_importance/*.csv,"Aggregated mean rank across 4 GPT phase-2 hepatic proxy SHAP tables (LGBM / CatBoost / XGB-Cox binary). These are proxy models, NOT the submitted phase-3 horizon-blend anchor (20260428_0059_phase3_10_horizon_blend_v2.csv) whose fitted constituents were not preserved. Treat as indicative feature ranking only."
25,aixp_aix_result_BM_3_min,30.5,,aggregated_mean_rank_across_phase2_proxy_SHAP_tables,hepatic_event,Track B (GPT) hepatic anchor — phase-2 proxy aggregate,pipeline_full/reference_upstream/gpt_track/experiments/outputs/phase2_feature_importance/*.csv,"Aggregated mean rank across 4 GPT phase-2 hepatic proxy SHAP tables (LGBM / CatBoost / XGB-Cox binary). These are proxy models, NOT the submitted phase-3 horizon-blend anchor (20260428_0059_phase3_10_horizon_blend_v2.csv) whose fitted constituents were not preserved. Treat as indicative feature ranking only."
26,triglyc_delta,30.5,,aggregated_mean_rank_across_phase2_proxy_SHAP_tables,hepatic_event,Track B (GPT) hepatic anchor — phase-2 proxy aggregate,pipeline_full/reference_upstream/gpt_track/experiments/outputs/phase2_feature_importance/*.csv,"Aggregated mean rank across 2 GPT phase-2 hepatic proxy SHAP tables (LGBM / CatBoost / XGB-Cox binary). These are proxy models, NOT the submitted phase-3 horizon-blend anchor (20260428_0059_phase3_10_horizon_blend_v2.csv) whose fitted constituents were not preserved. Treat as indicative feature ranking only."
27,alt_first,31.5,,aggregated_mean_rank_across_phase2_proxy_SHAP_tables,hepatic_event,Track B (GPT) hepatic anchor — phase-2 proxy aggregate,pipeline_full/reference_upstream/gpt_track/experiments/outputs/phase2_feature_importance/*.csv,"Aggregated mean rank across 2 GPT phase-2 hepatic proxy SHAP tables (LGBM / CatBoost / XGB-Cox binary). These are proxy models, NOT the submitted phase-3 horizon-blend anchor (20260428_0059_phase3_10_horizon_blend_v2.csv) whose fitted constituents were not preserved. Treat as indicative feature ranking only."
28,plt_min,32.0,,aggregated_mean_rank_across_phase2_proxy_SHAP_tables,hepatic_event,Track B (GPT) hepatic anchor — phase-2 proxy aggregate,pipeline_full/reference_upstream/gpt_track/experiments/outputs/phase2_feature_importance/*.csv,"Aggregated mean rank across 2 GPT phase-2 hepatic proxy SHAP tables (LGBM / CatBoost / XGB-Cox binary). These are proxy models, NOT the submitted phase-3 horizon-blend anchor (20260428_0059_phase3_10_horizon_blend_v2.csv) whose fitted constituents were not preserved. Treat as indicative feature ranking only."
29,alt_min,33.0,,aggregated_mean_rank_across_phase2_proxy_SHAP_tables,hepatic_event,Track B (GPT) hepatic anchor — phase-2 proxy aggregate,pipeline_full/reference_upstream/gpt_track/experiments/outputs/phase2_feature_importance/*.csv,"Aggregated mean rank across 2 GPT phase-2 hepatic proxy SHAP tables (LGBM / CatBoost / XGB-Cox binary). These are proxy models, NOT the submitted phase-3 horizon-blend anchor (20260428_0059_phase3_10_horizon_blend_v2.csv) whose fitted constituents were not preserved. Treat as indicative feature ranking only."
30,ast_min,34.0,,aggregated_mean_rank_across_phase2_proxy_SHAP_tables,hepatic_event,Track B (GPT) hepatic anchor — phase-2 proxy aggregate,pipeline_full/reference_upstream/gpt_track/experiments/outputs/phase2_feature_importance/*.csv,"Aggregated mean rank across 2 GPT phase-2 hepatic proxy SHAP tables (LGBM / CatBoost / XGB-Cox binary). These are proxy models, NOT the submitted phase-3 horizon-blend anchor (20260428_0059_phase3_10_horizon_blend_v2.csv) whose fitted constituents were not preserved. Treat as indicative feature ranking only."
